大学,学部名,学科名,日程,入試方式,10桁コード,rank
アール医療専門職大学,リハビリ,理学療法,,Ⅰ期,3113-64-0101,5
アール医療専門職大学,リハビリ,理学療法,共,Ａ,3113-64-0171,5
アール医療専門職大学,リハビリ,作業療法,共,Ⅰ期,3113-64-0201,5
アール医療専門職大学,リハビリ,作業療法,共,Ａ,3113-64-0271,5
愛国学園大学,人間文化,人間文化,,Ⅰ期,3213-37-0100,5
愛国学園大学,人間文化,人間文化,共,Ⅰ期,3213-37-0171,5
愛知大学,文,人文／ 現代文,,,3521-01-2502,4
愛知大学,文,人文／ 現代文,共,併用,3521-01-2571,4
愛知大学,文,人文／ 現代文,共,前期３,3521-01-2572,4
愛知大学,文,人文／ 現代文,共,前期５,3521-01-2573,4
愛知大学,文,人文／ 現代文,共,前期２,3521-01-2574,4
愛知大学,文,人文／ 現代文,共,前期４,3521-01-2575,4
愛知大学,文,人文／ 社会学,共,前期４,3521-01-2602,4
愛知大学,文,人文／ 社会学,共,併用,3521-01-2671,4
愛知大学,文,人文／ 社会学,共,前期３,3521-01-2672,4
愛知大学,文,人文／ 社会学,共,前期５,3521-01-2673,4
愛知大学,文,人文／ 社会学,共,前期２,3521-01-2674,4
愛知大学,文,人文／ 社会学,共,前期４,3521-01-2675,4
愛知大学,文,人文／ 欧米言,共,前期４,3521-01-3002,4
愛知大学,文,人文／ 欧米言,共,併用,3521-01-3071,4
愛知大学,文,人文／ 欧米言,共,前期３,3521-01-3072,4
愛知大学,文,人文／ 欧米言,共,前期５,3521-01-3073,4
愛知大学,文,人文／ 欧米言,共,前期２,3521-01-3074,4
愛知大学,文,人文／ 欧米言,共,前期４,3521-01-3075,4
愛知大学,文,心理,共,前期４,3521-01-3104,4
愛知大学,文,心理,共,併用,3521-01-3171,4
愛知大学,文,心理,共,前期３,3521-01-3172,4
愛知大学,文,心理,共,前期５,3521-01-3173,4
愛知大学,文,心理,共,前期２,3521-01-3174,4
愛知大学,文,心理,共,前期４,3521-01-3175,4
愛知大学,文,歴史地理,共,前期４,3521-01-3202,4
愛知大学,文,歴史地理,共,併用,3521-01-3271,4
愛知大学,文,歴史地理,共,前期３,3521-01-3272,4
愛知大学,文,歴史地理,共,前期５,3521-01-3273,4
愛知大学,文,歴史地理,共,前期２,3521-01-3274,4
愛知大学,文,歴史地理,共,前期４,3521-01-3275,4
愛知大学,文,日本語日本文,共,前期４,3521-01-3302,4
愛知大学,文,日本語日本文,共,併用,3521-01-3371,4
愛知大学,文,日本語日本文,共,前期３,3521-01-3372,4
愛知大学,文,日本語日本文,共,前期５,3521-01-3373,4
愛知大学,文,日本語日本文,共,前期２,3521-01-3374,4
愛知大学,文,日本語日本文,共,前期４,3521-01-3375,4
愛知大学,現代中国,現代中国,共,前期４,3521-03-0101,4
愛知大学,現代中国,現代中国,共,前期３,3521-03-0171,4
愛知大学,現代中国,現代中国,共,前期２,3521-03-0172,4
愛知大学,現代中国,現代中国,共,前期４,3521-03-0173,4
愛知大学,現代中国,現代中国,共,前期５,3521-03-0174,4
愛知大学,現代中国,現代中国,共,併用,3521-03-0175,4
愛知大学,法,法,共,併用,3521-12-0104,4
愛知大学,法,法,共,前期３,3521-12-0171,4
愛知大学,法,法,共,前期２,3521-12-0172,4
愛知大学,法,法,共,前期４,3521-12-0173,4
愛知大学,法,法,共,前期５,3521-12-0174,4
愛知大学,法,法,共,併用,3521-12-0175,4
愛知大学,地域政策,地域／ 公共政,共,併用,3521-13-0101,4
愛知大学,地域政策,地域／ 公共政,共,併用,3521-13-0171,4
愛知大学,地域政策,地域／ 公共政,共,前期３,3521-13-0172,4
愛知大学,地域政策,地域／ 公共政,共,前期５,3521-13-0173,4
愛知大学,地域政策,地域／ 公共政,共,前期２,3521-13-0174,4
愛知大学,地域政策,地域／ 公共政,共,前期４,3521-13-0175,4
愛知大学,地域政策,地域／ 経済産,共,前期４,3521-13-0201,4
愛知大学,地域政策,地域／ 経済産,共,併用,3521-13-0271,4
愛知大学,地域政策,地域／ 経済産,共,前期３,3521-13-0272,4
愛知大学,地域政策,地域／ 経済産,共,前期５,3521-13-0273,4
愛知大学,地域政策,地域／ 経済産,共,前期２,3521-13-0274,4
愛知大学,地域政策,地域／ 経済産,共,前期４,3521-13-0275,4
愛知大学,地域政策,地域／ 健康ス,共,前期４,3521-13-0501,4
愛知大学,地域政策,地域／ 健康ス,共,併用,3521-13-0571,4
愛知大学,地域政策,地域／ 健康ス,共,前期３,3521-13-0572,4
愛知大学,地域政策,地域／ 健康ス,共,前期５,3521-13-0573,4
愛知大学,地域政策,地域／ 健康ス,共,前期２,3521-13-0574,4
愛知大学,地域政策,地域／ 健康ス,共,前期４,3521-13-0575,4
愛知大学,地域政策,地域／ 食農環,共,前期４,3521-13-0604,4
愛知大学,地域政策,地域／ 食農環,共,併用,3521-13-0671,4
愛知大学,地域政策,地域／ 食農環,共,前期３,3521-13-0672,4
愛知大学,地域政策,地域／ 食農環,共,前期５,3521-13-0673,4
愛知大学,地域政策,地域／ 食農環,共,前期２,3521-13-0674,4
愛知大学,地域政策,地域／ 食農環,共,前期４,3521-13-0675,4
愛知大学,地域政策,地域／ まちづ,共,前期４,3521-13-0701,4
愛知大学,地域政策,地域／ まちづ,共,併用,3521-13-0771,4
愛知大学,地域政策,地域／ まちづ,共,前期３,3521-13-0772,4
愛知大学,地域政策,地域／ まちづ,共,前期５,3521-13-0773,4
愛知大学,地域政策,地域／ まちづ,共,前期２,3521-13-0774,4
愛知大学,地域政策,地域／ まちづ,共,前期４,3521-13-0775,4
愛知大学,経済,経済,共,前期４,3521-18-0104,4
愛知大学,経済,経済,共,前期２,3521-18-0171,4
愛知大学,経済,経済,共,前期３,3521-18-0172,4
愛知大学,経済,経済,共,前期４,3521-18-0173,4
愛知大学,経済,経済,共,前期５,3521-18-0174,4
愛知大学,経済,経済,共,併用,3521-18-0175,4
愛知大学,経営,経営,共,併用,3521-19-0104,4
愛知大学,経営,経営,共,前期２,3521-19-0171,4
愛知大学,経営,経営,共,前期３,3521-19-0172,4
愛知大学,経営,経営,共,前期４,3521-19-0173,4
愛知大学,経営,経営,共,前期５,3521-19-0174,4
愛知大学,経営,経営,共,併用,3521-19-0175,4
愛知大学,経営,会計ファイナ,共,併用,3521-19-0204,4
愛知大学,経営,会計ファイナ,共,前期３,3521-19-0271,4
愛知大学,経営,会計ファイナ,共,前期２,3521-19-0272,4
愛知大学,経営,会計ファイナ,共,前期４,3521-19-0273,4
愛知大学,経営,会計ファイナ,共,前期５,3521-19-0274,4
愛知大学,経営,会計ファイナ,共,併用,3521-19-0275,4
愛知大学,国際コミ,英語,共,併用,3521-37-0101,4
愛知大学,国際コミ,英語,共,前期３,3521-37-0171,4
愛知大学,国際コミ,英語,共,前期２,3521-37-0172,4
愛知大学,国際コミ,英語,共,前期４,3521-37-0173,4
愛知大学,国際コミ,英語,共,前期５,3521-37-0174,4
愛知大学,国際コミ,英語,共,併用,3521-37-0175,4
愛知大学,国際コミ,国際教養,共,併用,3521-37-0201,4
愛知大学,国際コミ,国際教養,共,前期３,3521-37-0271,4
愛知大学,国際コミ,国際教養,共,前期２,3521-37-0272,4
愛知大学,国際コミ,国際教養,共,前期４,3521-37-0273,4
愛知大学,国際コミ,国際教養,共,前期５,3521-37-0274,4
愛知大学,国際コミ,国際教養,共,併用,3521-37-0275,4
愛知医科大学,医,医,,,3522-55-0100,5
愛知医科大学,医,医,共,,3522-55-0171,5
愛知医科大学,看護,看護,共,,3522-64-0100,5
愛知医科大学,看護,看護,共,Ａ,3522-64-0171,5
愛知医科大学,看護,看護,共,併用,3522-64-0172,5
愛知医科大学,看護,看護,共,Ｂ,3522-64-0173,5
愛知医療学院大学,リハビリ,リハ／ 理学療,,前期,3568-64-0102,5
愛知医療学院大学,リハビリ,リハ／ 理学療,共,前期,3568-64-0171,5
愛知医療学院大学,リハビリ,リハ／ 理学療,共,前プラ,3568-64-0172,5
愛知医療学院大学,リハビリ,リハ／ 作業療,共,前期,3568-64-0202,5
愛知医療学院大学,リハビリ,リハ／ 作業療,共,前期,3568-64-0271,5
愛知医療学院大学,リハビリ,リハ／ 作業療,共,前プラ,3568-64-0272,5
愛知学院大学,文,英語英米文化,,前期Ｍ,3523-01-0102,4
愛知学院大学,文,英語英米文化,,前期Ａ,3523-01-0103,4
