大学,学部名,学科名,日程,入試方式,10桁コード
アール医療専門職大学,リハビリ,理学療法,,Ⅰ期,3113-64-0101
,,,共,Ａ,3113-64-0171
,,作業療法,,Ⅰ期,3113-64-0201
,,,共,Ａ,3113-64-0271
愛国学園,人間文化,人間文化,,Ⅰ期,3213-37-0100
,,,共,Ⅰ期,3213-37-0171
愛知,文,人文／ 現代文,,,3521-01-2502
,,,共,併用,3521-01-2571
,,,,前期３,3521-01-2572
,,,,前期５,3521-01-2573
,,,,前期２,3521-01-2574
,,,,前期４,3521-01-2575
,,人文／ 社会学,,,3521-01-2602
,,,共,併用,3521-01-2671
,,,,前期３,3521-01-2672
,,,,前期５,3521-01-2673
,,,,前期２,3521-01-2674
,,,,前期４,3521-01-2675
,,人文／ 欧米言,,,3521-01-3002
,,,共,併用,3521-01-3071
,,,,前期３,3521-01-3072
,,,,前期５,3521-01-3073
,,,,前期２,3521-01-3074
,,,,前期４,3521-01-3075
,,心理,,,3521-01-3104
,,,共,併用,3521-01-3171
,,,,前期３,3521-01-3172
,,,,前期５,3521-01-3173
,,,,前期２,3521-01-3174
,,,,前期４,3521-01-3175
,,歴史地理,,,3521-01-3202
,,,共,併用,3521-01-3271
,,,,前期３,3521-01-3272
,,,,前期５,3521-01-3273
,,,,前期２,3521-01-3274
,,,,前期４,3521-01-3275
,,日本語日本文,,,3521-01-3302
,,,共,併用,3521-01-3371
,,,,前期３,3521-01-3372
,,,,前期５,3521-01-3373
,,,,前期２,3521-01-3374
,,,,前期４,3521-01-3375
,現代中国,現代中国,,,3521-03-0101
,,,共,前期３,3521-03-0171
,,,,前期２,3521-03-0172
,,,,前期４,3521-03-0173
,,,,前期５,3521-03-0174
,,,,併用,3521-03-0175
,法,法,,,3521-12-0104
,,,共,前期３,3521-12-0171
,,,,前期２,3521-12-0172
,,,,前期４,3521-12-0173
,,,,前期５,3521-12-0174
,,,,併用,3521-12-0175
,地域政策,地域／ 公共政,,,3521-13-0101
,,,共,併用,3521-13-0171
,,,,前期３,3521-13-0172
愛知,地域政策,地域／ 公共政,共,前期５,3521-13-0173
,,,,前期２,3521-13-0174
,,,,前期４,3521-13-0175
,,地域／ 経済産,,,3521-13-0201
,,,共,併用,3521-13-0271
,,,,前期３,3521-13-0272
,,,,前期５,3521-13-0273
,,,,前期２,3521-13-0274
,,,,前期４,3521-13-0275
,,地域／ 健康ス,,,3521-13-0501
,,,共,併用,3521-13-0571
,,,,前期３,3521-13-0572
,,,,前期５,3521-13-0573
,,,,前期２,3521-13-0574
,,,,前期４,3521-13-0575
,,地域／ 食農環,,,3521-13-0604
,,,共,併用,3521-13-0671
,,,,前期３,3521-13-0672
,,,,前期５,3521-13-0673
,,,,前期２,3521-13-0674
,,,,前期４,3521-13-0675
,,地域／ まちづ,,,3521-13-0701
,,,共,併用,3521-13-0771
,,,,前期３,3521-13-0772
,,,,前期５,3521-13-0773
,,,,前期２,3521-13-0774
,,,,前期４,3521-13-0775
,経済,経済,,,3521-18-0104
,,,共,前期２,3521-18-0171
,,,,前期３,3521-18-0172
,,,,前期４,3521-18-0173
,,,,前期５,3521-18-0174
,,,,併用,3521-18-0175
,経営,経営,,,3521-19-0104
,,,共,前期２,3521-19-0171
,,,,前期３,3521-19-0172
,,,,前期４,3521-19-0173
,,,,前期５,3521-19-0174
,,,,併用,3521-19-0175
,,会計ファイナ,,,3521-19-0204
,,,共,前期３,3521-19-0271
,,,,前期２,3521-19-0272
,,,,前期４,3521-19-0273
,,,,前期５,3521-19-0274
,,,,併用,3521-19-0275
,国際コミ,英語,,,3521-37-0101
,,,共,前期３,3521-37-0171
,,,,前期２,3521-37-0172
,,,,前期４,3521-37-0173
